CallID,AgentID,AgentName,StartTime,EndTime,WaitTime_sec,CallType,Department,Channel,Resolved,CustomerRating,EscalatedToManager
CALL0001,AGT011,Anita Bose,2024-01-04 06:47:17,2024-01-04 06:56:38,238,Technical,Support,Email,Y,5,N
CALL0002,AGT002,Rahul Mehta,2024-01-19 19:02:01,2024-01-19 19:06:12,233,Technical,Support,Email,N,3,Y
CALL0003,AGT007,Pooja Singh,2024-01-08 20:37:17,2024-01-08 21:05:54,16,Technical,Technical,Chat,Y,3,N
CALL0004,AGT013,Lakshmi Iyer,2024-01-11 09:05:24,2024-01-11 09:09:42,377,Complaint,Retention,Phone,Y,5,N
CALL0005,AGT002,Rahul Mehta,2024-01-13 08:35:18,2024-01-13 09:04:36,380,Sales,Sales,Email,N,3,N
CALL0006,AGT005,Divya Nair,2024-01-03 13:55:06,2024-01-03 14:09:04,294,General,Retention,Phone,Y,3,N
CALL0007,AGT011,Anita Bose,2024-01-09 08:38:40,2024-01-09 08:45:30,556,Technical,Sales,Chat,Y,5,N
CALL0008,AGT012,Sanjay Tiwari,2024-01-18 13:43:20,2024-01-18 14:13:06,67,Technical,Support,Chat,Y,3,N
CALL0009,AGT004,Amit Joshi,2024-01-19 16:13:41,2024-01-19 16:31:43,415,General,Sales,Chat,N,3,Y
CALL0010,AGT005,Divya Nair,2024-01-24 19:57:37,2024-01-24 20:12:14,380,Technical,Sales,Email,Y,3,N
CALL0011,AGT014,Deepak Shah,2024-01-04 10:40:10,2024-01-04 11:08:12,442,Sales,Support,Chat,Y,4,N
CALL0012,AGT009,Neha Gupta,2024-01-09 06:43:46,2024-01-09 06:48:40,559,Complaint,Retention,Phone,Y,3,N
CALL0013,AGT008,Kiran Kumar,2024-01-01 14:32:48,2024-01-01 14:39:53,529,Billing,Retention,Email,Y,3,N
CALL0014,AGT003,Sneha Patil,2024-01-12 11:34:49,2024-01-12 11:53:55,10,Sales,Retention,Chat,N,2,Y
CALL0015,AGT014,Deepak Shah,2024-01-26 15:15:03,2024-01-26 15:24:16,590,Billing,Support,Email,Y,3,N
CALL0016,AGT013,Lakshmi Iyer,2024-01-18 10:08:42,2024-01-18 10:25:55,572,Technical,Retention,Email,Y,4,N
CALL0017,AGT004,Amit Joshi,2024-01-18 12:45:19,2024-01-18 12:59:56,392,General,Technical,Phone,N,1,N
CALL0018,AGT010,Vijay Rao,2024-01-18 13:37:14,2024-01-18 13:38:28,82,Billing,Sales,Phone,Y,4,N
CALL0019,AGT002,Rahul Mehta,2024-01-17 13:17:42,2024-01-17 13:35:16,229,Sales,Sales,Email,Y,5,N
CALL0020,AGT010,Vijay Rao,2024-01-16 13:50:30,2024-01-16 14:19:03,426,Technical,Support,Phone,Y,4,N
CALL0021,AGT007,Pooja Singh,2024-01-14 20:55:46,2024-01-14 20:58:36,110,Billing,Technical,Email,Y,3,N
CALL0022,AGT004,Amit Joshi,2024-01-07 12:34:28,2024-01-07 12:40:15,442,Technical,Retention,Chat,N,1,N
